Number	Species	Barcoded in This Study	GenBank	FishCARD
1	Abudefduf troschelii	No	No	No
2	Acanthocybium solandri	Yes	Yes	Yes
3	Acanthogobius flavimanus	Yes	Yes	Yes
4	Acanthurus xanthopterus	No	Yes	Yes
5	Achirus mazatlanus	No	No	No
6	Acipenser medirostris	No	Yes	Yes
7	Acipenser transmontanus	Yes	Yes	Yes
8	Agonomalus mozinoi	Yes	No	Yes
9	Agonopsis sterletus	Yes	No	Yes
10	Agonopsis vulsa	No	Yes	Yes
11	Albatrossia pectoralis	Yes	Yes	Yes
12	Albula gilberti	No	No	No
13	Albula vulpes	Yes	No	Yes
14	Alepisaurus ferox	No	Yes	Yes
15	Alepocephalus tenebrosus	Yes	Yes	Yes
16	Alloclinus holderi	Yes	No	Yes
17	Allocyttus folletti	Yes	No	Yes
18	Allosmerus elongatus	No	Yes	Yes
19	Allothunnus fallai	Yes	No	Yes
20	Alopias pelagicus	Yes	Yes	Yes
21	Alopias superciliosus	Yes	Yes	Yes
22	Alopias vulpinus	No	Yes	Yes
23	Alosa sapidissima	Yes	Yes	Yes
24	Amblyraja badia	Yes	No	Yes
25	Ammodytes hexapterus	No	Yes	Yes
26	Ammodytes personatus	No	Yes	Yes
27	Amphistichus argenteus	Yes	Yes	Yes
28	Amphistichus koelzi	Yes	Yes	Yes
29	Amphistichus rhodoterus	Yes	Yes	Yes
30	Anarrhichthys ocellatus	Yes	Yes	Yes
31	Anchoa compressa	Yes	No	Yes
32	Anchoa delicatissima	Yes	Yes	Yes
33	Anisotremus davidsoni	Yes	No	Yes
34	Anoplagonus inermis	No	Yes	Yes
35	Anoplarchus insignis	Yes	Yes	Yes
36	Anoplarchus purpurescens	Yes	Yes	Yes
37	Anoplogaster cornuta	Yes	Yes	Yes
38	Anoplopoma fimbria	Yes	Yes	Yes
39	Anotopterus nikparini	No	No	No
40	Anotopterus pharao	Yes	Yes	Yes
41	Antimora microlepis	Yes	Yes	Yes
42	Aphanopus arigato	No	No	No
43	Aphanopus intermedius	Yes	No	Yes
44	Apodichthys flavidus	Yes	Yes	Yes
45	Apodichthys fucorum	Yes	Yes	Yes
46	Apogon atricaudus	No	No	No
47	Apogon guadalupensis	Yes	No	Yes
48	Apogon pacificus	Yes	No	Yes
49	Apogon retrosella	No	No	No
50	Apristurus brunneus	Yes	Yes	Yes
51	Apristurus kampae	Yes	No	Yes
52	Arctozenus risso	No	No	No
53	Argentina sialis	Yes	No	Yes
54	Argyropelecus aculeatus	Yes	No	Yes
55	Argyropelecus affinis	No	Yes	Yes
56	Argyropelecus hemigymnus	No	No	No
57	Argyropelecus lychnus	Yes	No	Yes
58	Argyropelecus sladeni	Yes	No	Yes
59	Ariosoma gilberti	Yes	No	Yes
60	Aristostomias scintillans	Yes	No	Yes
61	Artedius corallinus	Yes	No	Yes
62	Artedius fenestralis	No	Yes	Yes
63	Artedius harringtoni	Yes	Yes	Yes
64	Artedius lateralis	Yes	Yes	Yes
65	Artedius notospilotus	Yes	No	Yes
66	Ascelichthys rhodorus	No	Yes	Yes
67	Asemichthys taylori	No	No	No
68	Assurger anzac	Yes	Yes	Yes
69	Astroscopus zephyreus	Yes	No	Yes
70	Atheresthes evermanni	No	Yes	Yes
71	Atheresthes stomias	Yes	Yes	Yes
72	Atherinopsis californiensis	Yes	No	Yes
73	Atractoscion nobilis	Yes	No	Yes
74	Aulorhynchus flavidus	Yes	Yes	Yes
75	Auxis rochei	Yes	Yes	Yes
76	Auxis thazard	Yes	Yes	Yes
77	Avocettina bowersii	No	No	No
78	Avocettina infans	Yes	Yes	Yes
79	Azurina hirundo	Yes	Yes	Yes
80	Bagre panamensis	No	Yes	Yes
81	Bajacalifornia burragei	Yes	No	Yes
82	Balistes polylepis	No	Yes	Yes
83	Barbourisia rufa	Yes	Yes	Yes
84	Bathophilus brevis	Yes	Yes	Yes
85	Bathophilus filifer	No	No	No
86	Bathophilus flemingi	Yes	Yes	Yes
87	Bathyagonus alascanus	Yes	Yes	Yes
88	Bathyagonus infraspinatus	No	Yes	Yes
89	Bathyagonus nigripinnis	Yes	Yes	Yes
90	Bathyagonus pentacanthus	Yes	Yes	Yes
91	Bathylagoides wesethi	Yes	No	Yes
92	Bathylagus pacificus	Yes	Yes	Yes
93	Bathylychnops exilis	No	Yes	Yes
94	Bathyraja abyssicola	Yes	No	Yes
95	Bathyraja aleutica	No	No	No
96	Bathyraja interrupta	Yes	Yes	Yes
97	Bathyraja spinosissima	No	No	No
98	Bathyraja trachura	Yes	No	Yes
99	Bathysphyraenops simplex	Yes	No	Yes
100	Bellator xenisma	Yes	No	Yes
101	Benthalbella dentata	Yes	Yes	Yes
102	Benthodesmus pacificus	No	Yes	Yes
103	Benthosema panamense	No	No	No
104	Bertella idiomorpha	Yes	Yes	Yes
105	Blepsias cirrhosus	Yes	Yes	Yes
106	Bolinichthys longipes	Yes	No	Yes
107	Bollmannia stigmatura	No	No	No
108	Borophryne apogon	No	No	No
109	Borostomias panamensis	Yes	No	Yes
110	Bothragonus swanii	No	No	No
111	Bothrocara brunneum	Yes	No	Yes
112	Bothrocara molle	Yes	No	Yes
113	Brachyistius frenatus	Yes	Yes	Yes
114	Brama japonica	Yes	Yes	Yes
115	Brama orcini	No	No	No
116	Brosmophycis marginata	Yes	Yes	Yes
117	Brotula clarkae	No	No	No
118	Calamus brachysomus	Yes	No	Yes
119	Caranx caballus	No	No	No
120	Caranx caninus	Yes	No	Yes
121	Caranx sexfasciatus	Yes	Yes	Yes
122	Caranx vinctus	Yes	No	Yes
123	Carcharhinus brachyurus	No	Yes	Yes
124	Carcharhinus leucas	No	Yes	Yes
125	Carcharhinus longimanus	Yes	Yes	Yes
126	Carcharhinus obscurus	No	Yes	Yes
127	Carcharodon carcharias	Yes	Yes	Yes
128	Careproctus colletti	No	Yes	Yes
129	Careproctus cypselurus	Yes	Yes	Yes
130	Careproctus gilberti	No	No	No
131	Careproctus melanurus	Yes	Yes	Yes
132	Caristius macropus	Yes	Yes	Yes
133	Cataetyx rubrirostris	Yes	Yes	Yes
134	Caulolatilus affinis	No	No	No
135	Caulolatilus princeps	Yes	No	Yes
136	Cebidichthys violaceus	Yes	No	Yes
137	Centrobranchus nigroocellatus	Yes	Yes	Yes
138	Centroscyllium nigrum	No	Yes	Yes
139	Cephaloscyllium ventriosum	Yes	No	Yes
140	Ceratias holboelli	Yes	No	Yes
141	Ceratoscopelus townsendi	Yes	Yes	Yes
142	Cetengraulis mysticetus	No	No	No
143	Cetorhinus maximus	Yes	Yes	Yes
144	Chaenophryne longiceps	Yes	Yes	Yes
145	Chaenophryne melanorhabdus	Yes	Yes	Yes
146	Chaenopsis alepidota	Yes	No	Yes
147	Chaetodipterus zonatus	Yes	No	Yes
148	Chaetodon humeralis	Yes	No	Yes
149	Chanos chanos	Yes	Yes	Yes
150	Chauliodus macouni	Yes	No	Yes
151	Cheilopogon heterurus	No	Yes	Yes
152	Cheilopogon pinnatibarbatus	Yes	Yes	Yes
153	Cheilotrema saturnum	Yes	No	Yes
154	Chesnonia verrucosa	Yes	Yes	Yes
155	Chiasmodon niger	Yes	No	Yes
156	Chiasmodon subniger	Yes	No	Yes
157	Chilara taylori	No	Yes	Yes
158	Chilomycterus reticulatus	Yes	Yes	Yes
159	Chirolophis decoratus	Yes	Yes	Yes
160	Chirolophis nugator	Yes	Yes	Yes
161	Chitonotus pugetensis	Yes	Yes	Yes
162	Chlamydoselachus anguineus	No	Yes	Yes
163	Chloroscombrus orqueta	Yes	No	Yes
164	Chromis alta	Yes	Yes	Yes
165	Chromis punctipinnis	Yes	Yes	Yes
166	Citharichthys fragilis	No	No	No
167	Citharichthys sordidus	Yes	Yes	Yes
168	Citharichthys stigmaeus	Yes	Yes	Yes
169	Citharichthys xanthostigma	Yes	Yes	Yes
170	Clevelandia ios	Yes	Yes	Yes
171	Clidoderma asperrimum	Yes	Yes	Yes
172	Clinocottus acuticeps	Yes	Yes	Yes
173	Clinocottus analis	Yes	Yes	Yes
174	Clinocottus embryum	Yes	No	Yes
175	Clinocottus globiceps	Yes	Yes	Yes
176	Clinocottus recalvus	Yes	No	Yes
177	Clupea harengus	No	Yes	Yes
178	Clupea pallasii	Yes	Yes	Yes
179	Coelorinchus scaphopsis	Yes	No	Yes
180	Cololabis saira	Yes	Yes	Yes
181	Congriscus megastomus	Yes	Yes	Yes
182	Conodon serrifer	No	No	No
183	Coptodon zillii	No	Yes	Yes
184	Coralliozetus springeri	Yes	No	Yes
185	Coryphaena hippurus	Yes	Yes	Yes
186	Coryphaenoides acrolepis	Yes	Yes	Yes
187	Coryphaenoides cinereus	No	Yes	Yes
188	Coryphaenoides filifer	Yes	Yes	Yes
189	Coryphaenoides leptolepis	No	Yes	Yes
190	Coryphaenoides yaquinae	Yes	Yes	Yes
191	Cosmocampus arctus	Yes	No	Yes
192	Cottus aleuticus	Yes	Yes	Yes
193	Cottus asper	Yes	Yes	Yes
194	Cryptacanthodes aleutensis	Yes	No	Yes
195	Cryptacanthodes giganteus	Yes	Yes	Yes
196	Cryptopsaras couesii	Yes	Yes	Yes
197	Cryptotrema corallinum	No	No	No
198	Ctenogobius sagittula	Yes	No	Yes
199	Cubiceps baxteri	Yes	Yes	Yes
200	Cubiceps capensis	No	No	No
201	Cubiceps paradoxus	No	No	No
