Number	CA Species Still Missing Barcodes	CA Abundance	Location	Introduced	Rockfish
1	Abudefduf troschelii	Rare in CA	Coastal	Native	No
2	Achirus mazatlanus	Rare in CA	Coastal	Native	No
3	Albula gilberti	Common	Coastal	Native	No
4	Anotopterus nikparini	Common	Not Coastal	Native	No
5	Aphanopus arigato	Rare in CA	Not Coastal	Native	No
6	Apogon atricaudus	Rare in CA	Coastal	Native	No
7	Apogon retrosella	Rare in CA	Coastal	Native	No
8	Arctozenus risso	Common	Not Coastal	Native	No
9	Argyropelecus hemigymnus	Common	Not Coastal	Native	No
10	Asemichthys taylori	Rare in CA	Coastal	Native	No
11	Avocettina bowersii	Common	Not Coastal	Native	No
12	Bathophilus filifer	Rare in CA	Not Coastal	Native	No
13	Bathyraja aleutica	Rare in CA	Not Coastal	Native	No
14	Bathyraja spinosissima	Common	Not Coastal	Native	No
15	Benthosema panamense	Rare in CA	Not Coastal	Native	No
16	Bollmannia stigmatura	Rare in CA	Coastal	Native	No
17	Borophryne apogon	Rare in CA	Coastal	Native	No
18	Bothragonus swanii	Common	Coastal	Native	No
19	Brama orcini	Rare in CA	Not Coastal	Native	No
20	Brotula clarkae	Rare in CA	Not Coastal	Native	No
21	Caranx caballus	Rare in CA	Coastal	Native	No
22	Careproctus gilberti	Rare in CA	Not Coastal	Native	No
23	Caulolatilus affinis	Rare in CA	Coastal	Native	No
24	Cetengraulis mysticetus	Rare in CA	Coastal	Native	No
25	Citharichthys fragilis	Common	Coastal	Native	No
26	Conodon serrifer	Rare in CA	Coastal	Native	No
27	Cryptotrema corallinum	Common	Coastal	Native	No
28	Cubiceps capensis	Rare in CA	Not Coastal	Native	No
29	Cubiceps paradoxus	Rare in CA	Not Coastal	Native	No
30	Cyclothone signata	Common	Not Coastal	Native	No
31	Diplophos taenia	Rare in CA	Not Coastal	Native	No
32	Dolicholagus longirostris	Rare in CA	Not Coastal	Native	No
33	Engyophrys sanctilaurentii	Rare in CA	Coastal	Native	No
34	Enophrys taurina	Common	Coastal	Native	No
35	Epinephelus labriformis	Rare in CA	Coastal	Native	No
