"","x"
"1","Galeocerdo cuvier"
"2","Galeorhinus galeus"
"3","Heterodontus francisci"
"4","Isurus oxyrinchus"
"5","Rhizoprionodon longurio"
"6","Sphyrna zygaena"
"7","Mobula mobular"
"8","Pteroplatytrygon violacea"
"9","Mobula thurstoni"
"10","Pseudobatos productus"
"11","Gymnura marmorata"
"12","Euprotomicrus bispinatus"
"13","Alopias superciliosus"
"14","Carcharhinus longimanus"
"15","Prionace glauca"
"16","Hydrolagus colliei"
"17","Somniosus pacificus"
"18","Hypanus dipterurus"
"19","Carcharodon carcharias"
"20","Hexanchus griseus"
"21","Himantolophus sagamius"
"22","Bathyraja trachura"
"23","Platyrhinoidis triseriata"
"24","Parmaturus xaniurus"
"25","Mustelus californicus"
"26","Triakis semifasciata"
"27","Urobatis halleri"
"28","Notorynchus cepedianus"
"29","Alopias pelagicus"
"30","Tetronarce californica"
"31","Beringraja binoculata"
"32","Mustelus henlei"
"33","Apristurus brunneus"
"34","Beringraja rhina"
"35","Apristurus kampae"
"36","Beringraja inornata"
"37","Cephaloscyllium ventriosum"
"38","Bathyraja interrupta"
"39","Beringraja stellulata"
"40","Bathyraja abyssicola"
"41","Amblyraja hyperborea"
"42","Rhincodon typus"
"43","Squalus suckleyi"
"44","Squatina californica"
"45","Megachasma pelagios"
"46","Mustelus lunulatus"
"47","Zapteryx exasperata"
"48","Nansenia candida"
"49","Syngnathus leptorhynchus"
"50","Nectoliparis pelagicus"
"51","Zaniolepis frenata"
"52","Gobiesox maeandricus"
"53","Merluccius productus"
"54","Coelorinchus scaphopsis"
"55","Roncador stearnsii"
"56","Scomber japonicus"
"57","Icosteus aenigmaticus"
"58","Sphyraena argentea"
"59","Trachipterus altivelis"
"60","Protomyctophum crockeri"
"61","Parophrys vetulus"
"62","Microstomus pacificus"
"63","Glyptocephalus zachirus"
"64","Lyopsetta exilis"
"65","Melanonus zugmayeri"
"66","Psettichthys melanostictus"
"67","Engraulis mordax"
"68","Sternoptyx obscura"
"69","Sternoptyx pseudobscura"
"70","Stomias atriventer"
"71","Vinciguerria nimbaria"
"72","Vinciguerria lucetia"
"73","Stenobrachius leucopsarus"
"74","Scopelogadus bispinosus"
"75","Notoscopelus resplendens"
"76","Triphoturus nigrescens"
"77","Lobianchia gemellarii"
"78","Diaphus theta"
"79","Centrobranchus nigroocellatus"
"80","Lestidiops pacificus"
"81","Melamphaes simus"
"82","Leuresthes tenuis"
"83","Trachurus symmetricus"
"84","Gobiesox rhessodon"
"85","Ophidion scrippsae"
"86","Sebastes semicinctus"
"87","Sebastes saxicola"
"88","Sebastes rastrelliger"
"89","Sebastes babcocki"
"90","Phanerodon vacca"
"91","Phanerodon furcatus"
"92","Micrometrus minimus"
"93","Hyperprosopon argenteum"
"94","Syngnathus exilis"
"95","Macroramphosus gracilis"
"96","Hippocampus ingens"
"97","Cosmocampus arctus"
"98","Bathyagonus pentacanthus"
"99","Zaniolepis latipinnis"
"100","Hypsoblennius gilberti"
"101","Hypsoblennius gentilis"
"102","Eucryphycus californicus"
"103","Anarrhichthys ocellatus"
"104","Chiasmodon subniger"
"105","Rhinogobiops nicholsii"
"106","Gillichthys mirabilis"
"107","Oneirodes acanthias"
"108","Plagiotremus azaleus"
"109","Labrisomus xanti"
"110","Hypsoblennius jenkinsi"
"111","Sebastes gilli"
"112","Haemulon flaviguttatum"
"113","Mycteroperca jordani"
"114","Morone saxatilis"
"115","Dolichopteryx longipes"
"116","Gadus macrocephalus"
"117","Thaleichthys pacificus"
"118","Ophiodon elongatus"
"119","Genyonemus lineatus"
"120","Allocyttus folletti"
"121","Coryphaenoides acrolepis"
"122","Bothrocara molle"
"123","Caulolatilus princeps"
"124","Hypsypops rubicundus"
"125","Remorina albescens"
"126","Sardinops sagax"
"127","Icichthys lockingtoni"
"128","Platichthys stellatus"
"129","Pleuronichthys coenosus"
"130","Pleuronichthys guttulatus"
"131","Ichthyococcus irregularis"
"132","Bathylagoides wesethi"
"133","Melamphaes lugubris"
"134","Tactostoma macropus"
"135","Bathophilus flemingi"
"136","Sternoptyx diaphana"
"137","Bathophilus brevis"
"138","Danaphos oculatus"
"139","Mugil setosus"
"140","Diaphus anderseni"
"141","Scopelarchus guentheri"
"142","Remora osteochir"
"143","Diplospinus multistriatus"
"144","Luvarus imperialis"
"145","Synchiropus atrilabiatus"
"146","Chesnonia verrucosa"
"147","Icelinus quadriseriatus"
"148","Artedius notospilotus"
"149","Neoclinus blanchardi"
"150","Microgadus proximus"
"151","Macropinna microstoma"
"152","Opostomias mitsuii"
"153","Photonectes margarita"
"154","Cololabis saira"
"155","Hirundichthys rondeletii"
"156","Hyporhamphus naos"
"157","Loweina rara"
"158","Diogenichthys atlanticus"
"159","Electrona risso"
"160","Nannobrachium bristori"
"161","Nannobrachium hawaiiensis"
"162","Protomyctophum thompsoni"
"163","Rosenblattichthys volucris"
"164","Sebastes lentiginosus"
"165","Scopelarchus analis"
"166","Sudis atrox"
"167","Cyema atrum"
"168","Zu cristatus"
"169","Anoplogaster cornuta"
"170","Melamphaes suborbitalis"
"171","Atherinops affinis"
"172","Caranx caninus"
"173","Pteraclis aesticola"
"174","Brachyistius frenatus"
"175","Cymatogaster aggregata"
"176","Dorosoma petenense"
"177","Diplophos taenia"
"178","Prognathodes falcifer"
"179","Melichthys niger"
"180","Mola mola"
"181","Ranzania laevis"
"182","Mulloidichthys dentatus"
"183","Mugil cephalus"
"184","Eucinostomus gracilis"
"185","Caranx sexfasciatus"
"186","Auxis rochei"
"187","Auxis thazard"
"188","Katsuwonus pelamis"
"189","Lepidocybium flavobrunneum"
"190","Scomberomorus concolor"
"191","Trichiurus nitens"
"192","Amphistichus argenteus"
"193","Amphistichus koelzi"
"194","Hyperprosopon ellipticum"
"195","Zalembius rosaceus"
"196","Rhacochilus toxotes"
"197","Halichoeres semicinctus"
"198","Chaetodipterus zonatus"
"199","Kyphosus ocyurus"
"200","Sebastes constellatus"
"201","Sebastes eos"
"202","Sebastes goodei"
"203","Sebastes macdonaldi"
"204","Sebastes melanosema"
"205","Sebastes rosenblatti"
"206","Sebastes ruberrimus"
"207","Erilepis zonifer"
"208","Leiocottus hirundo"
"209","Agonomalus mozinoi"
"210","Xeneretmus ritteri"
"211","Cryptacanthodes aleutensis"
"212","Melanostigma pammelas"
"213","Xiphister mucosus"
"214","Albatrossia pectoralis"
"215","Atheresthes stomias"
"216","Fowlerichthys avalonis"
"217","Sebastes wilsoni"
"218","Hexagrammos decagrammus"
"219","Rimicola muscarum"
"220","Brosmophycis marginata"
"221","Embiotoca jacksoni"
"222","Gibbonsia metzi"
"223","Sebastes borealis"
"224","Sebastes diploproa"
"225","Sebastes flavidus"
"226","Sebastes phillipsi"
"227","Sebastes proriger"
"228","Sebastes rufus"
"229","Sebastes serriceps"
"230","Acipenser transmontanus"
"231","Albula pacificus"
"232","Lophotus capellei"
"233","Hyporthodus niphobles"
"234","Atherinopsis californiensis"
"235","Nomeus gronovii"
"236","Thunnus alalunga"
"237","Sebastolobus alascanus"
"238","Oneirodes eschrichtii"
"239","Strongylura exilis"
"240","Ariosoma gilberti"
"241","Nicholsina denticulata"
"242","Lamna ditropis"
"243","Decodon melasma"
"244","Eopsetta jordani"
"245","Argentina sialis"
"246","Valenciennellus tripunctulatus"
"247","Melamphaes acanthomus"
"248","Lutjanus peru"
"249","Lampris guttatus"
"250","Microstoma microstoma"
"251","Melamphaes laeviceps"
"252","Thunnus obesus"
"253","Sebastes reedi"
"254","Stellerina xyosterna"
"255","Xeneretmus leiops"
"256","Congriscus megastomus"
"257","Leuroglossus stilbius"
"258","Pseudobathylagus milleri"
"259","Rathbunella hypoplecta"
"260","Porichthys notatus"
"261","Taractes asper"
"262","Caranx vinctus"
"263","Selene brevoortii"
"264","Seriola dorsalis"
"265","Chaenopsis alepidota"
"266","Chauliodus macouni"
"267","Gibbonsia elegans"
"268","Heterostichus rostratus"
"269","Opisthonema libertate"
"270","Artedius corallinus"
"271","Chitonotus pugetensis"
"272","Clinocottus analis"
"273","Icelinus burchami"
"274","Icelinus cavifrons"
"275","Icelinus filamentosus"
"276","Icelinus oculatus"
