"","x"
"1","Ablennes hians"
"2","Abudefduf troschelii"
"3","Acantholiparis caecus"
"4","Acantholiparis opercularis"
"5","Acanthomus armatus"
"6","Achirus mazatlanus"
"7","Ahliesaurus brevis"
"8","Albula gilberti"
"9","Aldrovandia oleosa"
"10","Alphestes immaculatus"
"11","Anchoa argentivittata"
"12","Anchoa exigua"
"13","Anisotremus interruptus"
"14","Anotopterus nikparini"
"15","Apogon atricaudus"
"16","Apogon retrosella"
"17","Aptocyclus ventricosus"
"18","Arctozenus risso"
"19","Argyropelecus hemigymnus"
"20","Asemichthys taylori"
"21","Atractoscion nobilis"
"22","Avocettina bowersii"
"23","Bajacalifornia megalops"
"24","Barathronus pacificus"
"25","Bassozetus levistomatus"
"26","Bassozetus nasus"
"27","Bassozetus zenkevitchi"
"28","Bathophilus filifer"
"29","Bathygobius ramosus"
"30","Bathylaco nigricans"
"31","Bathylagoides nigrigenys"
"32","Bathymaster caeruleofasciatus"
"33","Bathymaster signatus"
"34","Bathyphasma ovigerum"
"35","Bathypterois atricolor"
"36","Bathyraja aleutica"
"37","Bathyraja kincaidii"
"38","Bathyraja microtrachys"
"39","Bathyraja minispinosa"
"40","Bathyraja spinosissima"
"41","Bathysaurus mollis"
"42","Bathytroctes macrolepis"
"43","Bellator gymnostethus"
"44","Benthalbella linguidens"
"45","Benthosema panamense"
"46","Benthosema suborbitale"
"47","Beringraja inornate"
"48","Blepsias bilobus"
"49","Bodianus diplotaenia"
"50","Bollmannia stigmatura"
"51","Borophryne apogon"
"52","Bothragonus swanii"
"53","Bothrocara pusillum"
"54","Brama orcini"
"55","Brotula clarkae"
"56","Brotulataenia nielseni"
"57","Bryozoichthys marjorius"
"58","Caranx caballus"
"59","Carcharhinus altimus"
"60","Carcharhinus falciformis"
"61","Carcharhinus galapagensis"
"62","Careproctus ambustus"
"63","Careproctus filamentosus"
"64","Careproctus gilberti"
"65","Careproctus kamikawai"
"66","Careproctus longifilis"
"67","Careproctus microstomus"
"68","Careproctus oregonensis"
"69","Cataetyx simus"
"70","Caulolatilus affinis"
"71","Caulophryne jordani"
"72","Caulophryne pelagica"
"73","Caulophryne polynema"
"74","Cetengraulis mysticetus"
"75","Cetichthys parini"
"76","Cetostoma regani"
"77","Chaenophryne draco"
"78","Chauliodus sloani"
"79","Chaunacops coloratus"
"80","Cheilopogon furcatus"
"81","Cherublemma emmelas"
"82","Chiasmodon niger"
"83","Chirolophis tarsodes"
"84","Chromis atrilobata"
"85","Citharichthys fragilis"
"86","Cololabis adoceta"
"87","Conocara salmoneum"
"88","Conodon serrifer"
"89","Coryphaena equiselis"
"90","Coryphaenoides anguliceps"
"91","Coryphaenoides armatus"
"92","Coryphaenoides pectoralis"
"93","Cryptotrema corallinum"
"94","Cubiceps capensis"
"95","Cubiceps paradoxus"
"96","Cyclothone braueri"
"97","Cyclothone microdon"
"98","Cyclothone signata"
"99","Cynoscion xanthulus"
"100","Dactylagnus mundus"
"101","Dasycottus setiger"
"102","Deckertichthys aureolus"
"103","Derepodichthys alepidotus"
"104","Dicrolene filamentosa"
"105","Diplectrum labarum"
"106","Diplophos proximus"
"107","Diretmoides pauciradiatus"
"108","Diretmus argenteus"
"109","Ditropichthys storeri"
"110","Dolicholagus longirostris"
"111","Dolichopteryx parini"
"112","Dolichopteryx pseudolongipes"
"113","Dolopichthys longicornis"
"114","Dolopichthys pullatus"
"115","Dysalotus oligoscolus"
"116","Engyophrys sanctilaurentii"
"117","Enneanectes carminalis"
"118","Enneanectes reticulatus"
"119","Enophrys lucasi"
"120","Enophrys taurina"
"121","Epinephelus labriformis"
"122","Eptatretus fritzi"
"123","Eptatretus mcconnaugheyi"
"124","Ernogrammus walkeri"
"125","Esselenichthys laurae"
"126","Etmopterus benchleyi"
"127","Etropus crossotus"
"128","Etrumeus acuminatus"
"129","Eucinostomus dowii"
"130","Eucyclogobius kristinae"
"131","Eumicrotremus orbis"
"132","Evermannella ahlstromi"
"133","Facciolella equatorialis"
"134","Flagellostomias boureei"
"135","Genioliparis ferox"
"136","Gigantactis gargantua"
"137","Gigantactis macronema"
"138","Gigantactis micordontis"
"139","Gigantactis savagei"
"140","Gillellus semicinctus"
"141","Gnathophis cinctus"
"142","Gobiesox eugrammus"
"143","Gobiesox papillifer"
"144","Gobulus crescentalis"
"145","Gonostoma atlanticum"
"146","Grammonus diagrammus"
"147","Gymnocanthus galeatus"
"148","Gymnothorax castaneus"
"149","Gymnothorax dovii"
"150","Haemulon maculicauda"
"151","Haemulopsis axillaris"
"152","Halichoeres dispilus"
"153","Halichoeres insularis"
"154","Halichoeres melanotis"
"155","Halichoeres nicholsii"
"156","Halichoeres notospilus"
"157","Heteroconger digueti"
"158","Heterodontus mexicanus"
"159","Heteropriacanthus carolinus"
"160","Hexagrammos octogrammus"
"161","Himantolophus nigricornis"
"162","Hippoglossina tetrophthalma"
"163","Hirundichthys albimaculatus"
"164","Hirundichthys marginatus"
"165","Holacanthus clarionensis"
"166","Holacanthus passer"
"167","Holcomycteronus profundissimus"
"168","Holtbyrnia innesi"
"169","Holtbyrnia laticauda"
"170","Howella sherborni"
"171","Hydrolagus melanophasma"
"172","Hypomesus transpacificus"
"173","Hyporhamphus rosae"
"174","Hypsagonus quadricornis"
"175","Icelinus borealis"
"176","Icelinus limbaughi"
"177","Icelus spiniger"
"178","Ichthyococcus elongatus"
"179","Idiacanthus fasciola"
"180","Ilypnus gilberti"
"181","Iniistius pavo"
"182","Johnrandallia nigrirostris"
"183","Kali falx"
"184","Kali indica"
"185","Kali macrura"
"186","Kathetostoma averruncus"
"187","Labrisomus multiporosus"
"188","Labrisomus wigginsi"
"189","Lampanyctus acanthurus"
"190","Lampanyctus jordani"
"191","Lampanyctus nobilis"
"192","Lampanyctus steinbecki"
"193","Lampris incognitus"
"194","Lampris megalopsis"
"195","Larimus acclivis"
"196","Lepidopsetta polyxystra"
"197","Lepophidium microlepis"
"198","Lepophidium negropinna"
"199","Lepophidium prorates"
"200","Lepophidium stigmatistium"
"201","Leptacanthichthys gracilispinis"
"202","Leptagonus frenatus"
"203","Leptochilichtys agassizi"
"204","Leptoclinus maculatus"
"205","Lestidiops phyranopsis"
"206","Lestidium nudum"
"207","Leuroglossus schmidti"
"208","Linophryne coronate"
"209","Linophryne racemifera"
"210","Liparis adiastolus"
"211","Liparis callyodon"
"212","Liparis dennyi"
"213","Liparis gibbus"
"214","Liparis greeni"
"215","Liparis rutteri"
"216","Lucania goodei"
"217","Lucania parva"
"218","Lumpenella longirostris"
"219","Lumpenopsis clitella"
"220","Lumpenopsis hypochroma"
"221","Lycenchelys callista"
"222","Lycenchelys jordani"
"223","Lycenchelys micropora"
"224","Lycenchelys monstrosa"
"225","Lycenchelys pearcyi"
"226","Lycodapus dermatinus"
"227","Lycodapus endemoscotus"
"228","Lycodapus pachysoma"
"229","Lycodapus parviceps"
"230","Lycodapus psarostomatus"
"231","Lycodes beringi"
"232","Lycodes palearis"
"233","Malacocephalus laevis"
"234","Malacocottus kincaidi"
"235","Malacocottus zonurus"
"236","Malacoctenus gigas"
"237","Malacoctenus hubbsi"
"238","Malacoctenus zacae"
"239","Malacosteus niger"
"240","Mallotus catervarius"
"241","Maulisia argipalla"
"242","Maurolicus muellari"
"243","Melamphaes janae"
"244","Melamphaes longivelis"
"245","Melamphaes macrocephlus"
"246","Melanostomias valdiviae"
"247","Menidia audens"
"248","Mentodus eubranchus"
"249","Mentodus facilis"
"250","Mesobius berryi"
"251","Mesovagus berryi"
"252","Microlophichthys microlophus"
"253","Microstomus bathybius"
"254","Monognathus ahlstromi"
"255","Muraena argus"
"256","Mycteroperca rosacea"
"257","Myliobatis longirostris"
"258","Myoxocephalus polyacanthocephalus"
"259","Myoxocephalus scorpius"
"260","Myxine circifrons"
"261","Myxine hubbsi"
"262","Nannobrachium idostigma"
"263","Nansenia crassa"
"264","Narcetes stomias"
"265","Narcine entemedor"
"266","Nasolamia velox"
"267","Nautichthys robustus"
"268","Nemichthys larseni"
"269","Neoclinus stephensae"
"270","Neoclinus uninotatus"
"271","Neonesthes capensis"
"272","Neoscopelus macrolepidotus"
"273","Nezumia kensmithi"
"274","Nezumia stelgidolepis"
"275","Oligocottus rimensis"
"276","Oligocottus rubellio"
"277","Oneirodes basili"
"278","Oneirodes bulbosus"
"279","Ophidion galeoides"
"280","Opisthopterus soleatus"
"281","Orthopristis reddingi"
"282","Osmerus dentex"
"283","Osteodiscus cascadiae"
"284","Oxyporhamphus micropterus"
"285","Pachycara bulbiceps"
"286","Pachycara gymninium"
"287","Pachycara karenae"
"288","Pachycara lepinium"
"289","Pachystomius microdon"
"290","Paracaristius nudarcus"
"291","Paraclinus altivelis"
"292","Paraclinus asper"
"293","Paraclinus sini"
"294","Paraclinus walkeri"
"295","Paralichthys aestuarius"
"296","Paraliparis albescens"
"297","Paraliparis dactylosus"
"298","Paraliparis deani"
"299","Paraliparis latifrons"
"300","Paraliparis megalopus"
"301","Paraliparis melobranchus"
"302","Paraliparis mento"
"303","Paraliparis nassarum"
"304","Paraliparis paucidens"
"305","Paraliparis rosaceus"
"306","Paraliparis ulochir"
"307","Parataeniophorus brevis"
"308","Paricelinus hopliticus"
"309","Pholis schultzi"
"310","Photostylus pycnopterus"
"311","Phyllorhinichthys micractis"
"312","Physiculus nematopus"
"313","Physiculus talarae"
"314","Plagiogrammus hopkinsii"
"315","Platybelone argalus"
"316","Platyberyx andriashevi"
"317","Platytroctes apus"
"318","Pleuronectes quadrituberculatus"
"319","Polyacanthonotus challengeri"
"320","Polydactylus opercularis"
"321","Pontinus vaughani"
"322","Porogadus promelas"
"323","Poromitra jucunda"
"324","Poromitra oscitans"
"325","Priacanthus alalaua"
"326","Prionotus ruscarius"
"327","Pristis pristis"
"328","Prosoopium cylandraceum"
"329","Psednos anoderkes"
"330","Psednos cathetostomus"
"331","Psednos griseus"
"332","Psednos mexicanus"
"333","Psednos pallidus"
"334","Pseudobatos glaucostigma"
"335","Pseudobatos leucorhychus"
"336","Pseudonezumia occidentalis"
"337","Pseudoscopelus lavenbergi"
"338","Psychrolutes paradoxus"
"339","Psychrolutes sigalutes"
"340","Pterycombus petersii"
"341","Pungitius pungitius"
"342","Radulinus boleoides"
"343","Radulinus vinculus"
"344","Rathbunella alleni"
"345","Rhadinesthes decimus"
"346","Rhinoptera steindachneri"
"347","Rimicola cabrilloi"
"348","Rimicola dimorpha"
"349","Rimicola eigenmanni"
"350","Rimicola sila"
"351","Rondeletia loricata"
"352","Rouleina attrita"
"353","Ruscarius meanyi"
"354","Salmo salar"
"355","Salvelinus confluentus"
"356","Salvelinus malma"
"357","Sciadonus pedicellaris"
"358","Scopelarchoides nicholsii"
"359","Scopelengys tristis"
"360","Scopeloberyx opisthopterus"
"361","Scopeloberyx robustus"
"362","Scorpaena histrio"
"363","Scytalichthys miurus"
"364","Scytalina cerdale"
"365","Sebastes atrovirens"
"366","Sebastes aurora"
"367","Sebastes brevispinis"
"368","Sebastes carnatus"
"369","Sebastes chlorostictus"
"370","Sebastes chrysomelas"
"371","Sebastes ciliatus"
"372","Sebastes dallii"
"373","Sebastes diaconus"
"374","Sebastes elongatus"
"375","Sebastes emphaeus"
"376","Sebastes ensifer"
"377","Sebastes helvomaculatus"
"378","Sebastes hopkinsi"
"379","Sebastes jordani"
"380","Sebastes levis"
"381","Sebastes melanops"
"382","Sebastes melanostictus"
"383","Sebastes melanostomus"
"384","Sebastes miniatus"
"385","Sebastes moseri"
"386","Sebastes notius"
"387","Sebastes ovalis"
"388","Sebastes pinniger"
"389","Sebastes polyspinus"
"390","Sebastes rosaceus"
"391","Sebastes rufinanus"
"392","Sebastes serranoides"
"393","Sebastes simulator"
"394","Sebastes umbrosus"
"395","Sebastes variegatus"
"396","Sebastes zacentrus"
"397","Serranus aequidens"
"398","Serranus psittacinus"
"399","Sigmops ebelingi"
"400","Sigmops elongatus"
"401","Sigmops gracilis"
"402","Spectrunculus crassus"
"403","Spectrunculus grandis"
"404","Sphoeroides lispus"
"405","Sphyraena lucasana"
"406","Starksia guadalupae"
"407","Stegastes leucorus"
"408","Stegastes rectifraenum"
"409","Stemonidium hypomelas"
"410","Stichaeus punctatus"
"411","Stylephorus chordatus"
"412","Symphurus fasciolaris"
"413","Symphurus oligomerus"
"414","Synaphobranchus brevidorsalis"
"415","Syngnathus euchrous"
"416","Syngnathus insulae"
"417","Synodus scituliceps"
"418","Taaningichthys paurolychnus"
"419","Taranetzella lyoderma"
"420","Tetragonurus atlanticus"
"421","Thalassoma lucasanum"
"422","Thaumatichthys axeli"
"423","Trachipterus fukuzakii"
"424","Triglops macellus"
"425","Triglops pingelii"
"426","Tylosurus crocodilus"
"427","Ulvicola sanctaerosae"
"428","Urobatis concentricus"
"429","Urobatis maculatus"
"430","Urotrygon munda"
"431","Venefica ocelli"
"432","Venefica procera"
"433","Venefica tentaculata"
"434","Woodsia nonsuchae"
"435","Xeneretmus triacanthus"
"436","Xenomystax atrarius"
"437","Zameus squamulosus"
"438","Zenopsis nebulosa"
