"","x"
"1","Galeorhinus galeus"
"2","Rhizoprionodon longurio"
"3","Pseudobatos productus"
"4","Gymnura marmorata"
"5","Euprotomicrus bispinatus"
"6","Hypanus dipterurus"
"7","Himantolophus sagamius"
"8","Bathyraja trachura"
"9","Platyrhinoidis triseriata"
"10","Parmaturus xaniurus"
"11","Mustelus californicus"
"12","Urobatis halleri"
"13","Tetronarce californica"
"14","Mustelus henlei"
"15","Apristurus kampae"
"16","Cephaloscyllium ventriosum"
"17","Beringraja stellulata"
"18","Bathyraja abyssicola"
"19","Mustelus lunulatus"
"20","Nansenia candida"
"21","Coelorinchus scaphopsis"
"22","Roncador stearnsii"
"23","Sphyraena argentea"
"24","Sternoptyx obscura"
"25","Sternoptyx pseudobscura"
"26","Vinciguerria lucetia"
"27","Lestidiops pacificus"
"28","Melamphaes simus"
"29","Gobiesox rhessodon"
"30","Ophidion scrippsae"
"31","Sebastes rastrelliger"
"32","Phanerodon furcatus"
"33","Micrometrus minimus"
"34","Syngnathus exilis"
"35","Cosmocampus arctus"
"36","Hypsoblennius gilberti"
"37","Eucryphycus californicus"
"38","Chiasmodon subniger"
"39","Rhinogobiops nicholsii"
"40","Oneirodes acanthias"
"41","Plagiotremus azaleus"
"42","Hypsoblennius jenkinsi"
"43","Sebastes gilli"
"44","Haemulon flaviguttatum"
"45","Mycteroperca jordani"
"46","Dolichopteryx longipes"
"47","Allocyttus folletti"
"48","Bothrocara molle"
"49","Caulolatilus princeps"
"50","Ichthyococcus irregularis"
"51","Bathylagoides wesethi"
"52","Sternoptyx diaphana"
"53","Danaphos oculatus"
"54","Scopelarchus guentheri"
"55","Synchiropus atrilabiatus"
"56","Icelinus quadriseriatus"
"57","Artedius notospilotus"
"58","Neoclinus blanchardi"
"59","Hyporhamphus naos"
"60","Loweina rara"
"61","Nannobrachium bristori"
"62","Nannobrachium hawaiiensis"
"63","Rosenblattichthys volucris"
"64","Sebastes lentiginosus"
"65","Scopelarchus analis"
"66","Sudis atrox"
"67","Melamphaes suborbitalis"
"68","Atherinops affinis"
"69","Caranx caninus"
"70","Prognathodes falcifer"
"71","Mulloidichthys dentatus"
"72","Eucinostomus gracilis"
"73","Zalembius rosaceus"
"74","Rhacochilus toxotes"
"75","Chaetodipterus zonatus"
"76","Sebastes constellatus"
"77","Sebastes eos"
"78","Sebastes goodei"
"79","Sebastes macdonaldi"
"80","Sebastes melanosema"
"81","Sebastes rosenblatti"
"82","Leiocottus hirundo"
"83","Agonomalus mozinoi"
"84","Xeneretmus ritteri"
"85","Cryptacanthodes aleutensis"
"86","Melanostigma pammelas"
"87","Fowlerichthys avalonis"
"88","Sebastes wilsoni"
"89","Rimicola muscarum"
"90","Sebastes borealis"
"91","Sebastes flavidus"
"92","Sebastes phillipsi"
"93","Sebastes proriger"
"94","Sebastes rufus"
"95","Sebastes serriceps"
"96","Albula pacificus"
"97","Hyporthodus niphobles"
"98","Atherinopsis californiensis"
"99","Sebastolobus alascanus"
"100","Oneirodes eschrichtii"
"101","Strongylura exilis"
"102","Ariosoma gilberti"
"103","Nicholsina denticulata"
"104","Decodon melasma"
"105","Argentina sialis"
"106","Melamphaes acanthomus"
"107","Microstoma microstoma"
"108","Melamphaes laeviceps"
"109","Sebastes reedi"
"110","Leuroglossus stilbius"
"111","Rathbunella hypoplecta"
"112","Caranx vinctus"
"113","Selene brevoortii"
"114","Chaenopsis alepidota"
"115","Chauliodus macouni"
"116","Gibbonsia elegans"
"117","Opisthonema libertate"
"118","Artedius corallinus"
"119","Icelinus cavifrons"
"120","Icelinus oculatus"
"121","Symphurus atricaudus"
"122","Elops affinis"
"123","Phanerodon atripes"
"124","Anchoa compressa"
"125","Fundulus parvipinnis"
"126","Ctenogobius sagittula"
"127","Lethops connectens"
"128","Quietula y-cauda"
"129","Typhlogobius californiensis"
"130","Cyclothone acclinidens"
"131","Cyclothone pseudopallida"
"132","Anisotremus davidsonii"
"133","Brachygenys californiensis"
"134","Alloclinus holderi"
"135","Lobotes pacificus"
"136","Lophiodes spilurus"
"137","Lophotus lacepede"
"138","Lutjanus argentiventris"
"139","Aristostomias scintillans"
"140","Pseudupeneus grandisquamis"
"141","Symbolophorus evermanni"
"142","Taaningichthys bathyphilus"
"143","Eptatretus stoutii"
"144","Lestidiops ringens"
"145","Macroparalepis johnfitchi"
"146","Stemonosudis macrura"
"147","Paralichthys californicus"
"148","Pleuronichthys ritteri"
"149","Polydactylus approximans"
"150","Pomacanthus zonipectus"
"151","Pristigenys serrula"
"152","Cheilotrema saturnum"
"153","Cynoscion parvipinnis"
"154","Menticirrhus undulatus"
"155","Seriphus politus"
"156","Umbrina roncador"
"157","Allothunnus fallai"
"158","Scorpaena guttata"
"159","Scorpaenodes xyris"
"160","Hemanthias signifer"
"161","Mycteroperca xenarcha"
"162","Paralabrax auroguttatus"
"163","Paralabrax clathratus"
"164","Paralabrax maculatofasciatus"
"165","Sphyraena ensis"
"166","Argyropelecus sladeni"
"167","Esselenichthys carli"
"168","Kasatkia seigeli"
"169","Peprilus simillimus"
"170","Syngnathus californiensis"
"171","Synodus lacertinus"
"172","Prionotus stephanophrys"
"173","Lycenchelys crotalinus"
"174","Lyconema barbatum"
"175","Eucinostomus argenteus"
"176","Ruscarius creaseri"
"177","Lutjanus novemfasciatus"
"178","Lythrypnus zebra"
"179","Sebastolobus altivelis"
"180","Calamus brachysomus"
"181","Agonopsis sterletus"
"182","Cephalopholis colonus"
"183","Cyclothone pallida"
"184","Bajacalifornia burragei"
"185","Holtbyrnia latifrons"
"186","Poromitra crassiceps"
"187","Lycenchelys camchatica"
"188","Eptatretus deani"
"189","Physiculus rastrelliger"
"190","Bothrocara brunneum"
"191","Borostomias panamensis"
"192","Ceratias holboelli"
"193","Gonichthys tenuiculus"
"194","Hygophum atratum"
"195","Icelinus tenuis"
"196","Lampanyctus parvicauda"
"197","Lepidopus fitchi"
"198","Mirorictus taningi"
"199","Aphanopus arigato"
"200","Argyropelecus aculeatus"
"201","Cebidichthys violaceus"
"202","Clinocottus embryum"
"203","Clinocottus recalvus"
"204","Dormitator latifrons"
"205","Kali kerberti"
"206","Lycodapus fierasfer"
"207","Paraliparis pectoralis"
"208","Zesticelus profundorum"
"209","Dermatolepis dermatolepis"
"210","Opisthonema medirastre"
"211","Parvilux ingens"
"212","Lampanyctus festivus"
"213","Vinciguerria poweriae"
"214","Bolinichthys longipes"
"215","Cyclothone atraria"
"216","Sphoeroides lobatus"
"217","Ophichthus triserialis"
"218","Scorpaena mystes"
"219","Selene peruviana"
"220","Trachinotus rhodopus"
"221","Chloroscombrus orqueta"
"222","Microlepidotus inornatus"
"223","Apogon guadalupensis"
"224","Astroscopus zephyreus"
"225","Apogon pacificus"
"226","Diplectrum maximum"
"227","Fistularia corneta"
"228","Epinephelus analogus"
"229","Harengula thrissina"
"230","Melamphaes parvus"
"231","Fodiator acutus"
"232","Chaetodon humeralis"
"233","Eucinostomus currani"
"234","Lutjanus colorado"
"235","Bellator xenisma"
"236","Hyporthodus acanthistius"
"237","Argyropelecus lychnus"
"238","Paralabrax nebulifer"
"239","Trachinotus paitensis"
"240","Pronotogrammus multifasciatus"
"241","Hemiramphus saltator"
"242","Syngnathus auliscus"
"243","Coralliozetus springeri"
"244","Tarletonbeania crenularis"
"245","Bathysphyraenops simplex"
"246","Euthynnus lineatus"
"247","Gymnothorax mordax"
"248","Micrometrus aurora"
"249","Mola tecta"
"250","Mola alexandrini"
"251","Lythrypnus dalli"
"252","Embiotoca caryi"
