"","Comparison","BLCA_score","Taxonomic_rank","Metric","Value"
"1","global_trim_vs_global_trim",40,"Species","True Positive Rate",93.1
"2","global_trim_vs_global_trim",40,"Species","Under-classification Rate ",2.6
"3","global_trim_vs_global_trim",40,"Species","Misclassification Rate",4.3
"4","global_trim_vs_global_trim",40,"Species","Over-classification Rate",NA
"5","global_trim_vs_global_trim",40,"Species","Accuracy",93.1
"6","global_trim_vs_global_trim",40,"Genus","True Positive Rate",99
"7","global_trim_vs_global_trim",40,"Genus","Under-classification Rate ",0.3
"8","global_trim_vs_global_trim",40,"Genus","Misclassification Rate",0.7
"9","global_trim_vs_global_trim",40,"Genus","Over-classification Rate",NA
"10","global_trim_vs_global_trim",40,"Genus","Accuracy",99
"11","global_trim_vs_global_trim",40,"Family","True Positive Rate",99.9
"12","global_trim_vs_global_trim",40,"Family","Under-classification Rate ",0
"13","global_trim_vs_global_trim",40,"Family","Misclassification Rate",0.1
"14","global_trim_vs_global_trim",40,"Family","Over-classification Rate",NA
"15","global_trim_vs_global_trim",40,"Family","Accuracy",99.9
"16","global_trim_vs_global_trim",40,"Order","True Positive Rate",99.9
"17","global_trim_vs_global_trim",40,"Order","Under-classification Rate ",0
"18","global_trim_vs_global_trim",40,"Order","Misclassification Rate",0
"19","global_trim_vs_global_trim",40,"Order","Over-classification Rate",NA
"20","global_trim_vs_global_trim",40,"Order","Accuracy",99.9
"21","global_trim_vs_global_trim",40,"Class","True Positive Rate",100
"22","global_trim_vs_global_trim",40,"Class","Under-classification Rate ",0
"23","global_trim_vs_global_trim",40,"Class","Misclassification Rate",0
"24","global_trim_vs_global_trim",40,"Class","Over-classification Rate",NA
"25","global_trim_vs_global_trim",40,"Class","Accuracy",100
"26","global_trim_vs_global_trim",40,"Phylum","True Positive Rate",100
"27","global_trim_vs_global_trim",40,"Phylum","Under-classification Rate ",0
"28","global_trim_vs_global_trim",40,"Phylum","Misclassification Rate",0
"29","global_trim_vs_global_trim",40,"Phylum","Over-classification Rate",NA
