sum.taxonomy	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;Normichthys;Normichthys operosus	1	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax	1291	0	1329
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis	0	0	1
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	730	1810
Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota	3156	178	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;	0	0	729
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus	0	864	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon	0	0	2070
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum	0	0	474
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi	0	0	128
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi	0	136	0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;NA;	2	1	4
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;	0	0	17
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	0	0	3662
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;	3556	2747	631
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;	1488	18421	4484
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea	0	0	338
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis	16593	8846	4731
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;NA;	3	2	2
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax	0	167	3680
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	9345	1838	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;NA;	1	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;NA;	0	0	1
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus	1	0	0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;NA;	13555	6343	7658
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica	0	0	494
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	880	2524	4131
Eukaryota;Chordata;Actinopteri;NA;;NA;	71	22	5
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Brachyistius;Brachyistius frenatus	0	418	0
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;NA;	1297	2364	2162
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps	1395	32	344
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;	4	0	2
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis	6994	446	1785
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus	786	184	0
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;NA;	4	0	0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;NA;	0	134	1147
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Umbrina;Umbrina roncador	62	0	0
Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea	11226	1279	8249
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori	0	239	0
Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas	6209	0	3419
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri	0	0	1008
Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Oxylebius;Oxylebius pictus	0	0	399
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;	336	0	0
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;	31	120	87
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus	7341	28123	18756
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;	0	0	9686
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus	0	0	3377
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;	0	0	1
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus	0	227	382
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis	0	1	0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;	0	0	1
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys decurrens	0	0	104
Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Icichthys;Icichthys lockingtoni	356	0	0
Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;NA;	1	0	0
Eukaryota;Chordata;Actinopteri;Scombriformes;NA;;	1	0	0
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;NA;	1008	0	0
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;	27	0	0
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica	262	0	34
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;NA;	0	4	0
NA	58530	6518	16645
