all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	sum taxonomy
forward_fishcard_12S_all_1	14	73	53	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_2	43	18	10	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_3	38	15	18	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_4	31	4	19	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_5	0	38	10	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_6	0	0	37	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
forward_fishcard_12S_all_7	12	12	7	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_8	14	0	11	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_9	17	2	2	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_10	10	5	3	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_11	11	5	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_12	1	6	8	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_13	5	6	3	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_14	5	6	3	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_15	2	11	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_16	2	1	10	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_fishcard_12S_all_17	0	11	2	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_18	3	1	7	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_19	0	6	5	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_20	2	5	3	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_21	2	4	4	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_22	0	0	10	Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon
forward_fishcard_12S_all_23	6	2	1	
forward_fishcard_12S_all_24	8	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_25	5	2	1	
forward_fishcard_12S_all_26	5	1	2	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_27	7	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_28	5	1	1	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_29	5	0	1	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_fishcard_12S_all_30	4	2	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_31	2	2	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_32	0	2	4	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_33	0	2	4	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis
forward_fishcard_12S_all_34	0	0	6	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi
forward_fishcard_12S_all_35	4	1	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_36	3	0	2	
forward_fishcard_12S_all_37	0	1	4	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_38	4	0	0	
forward_fishcard_12S_all_39	4	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_40	4	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_41	3	0	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_42	3	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_43	3	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_44	2	1	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_45	1	2	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_46	0	4	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_fishcard_12S_all_47	0	4	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_fishcard_12S_all_48	0	0	4	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_49	0	0	4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
forward_fishcard_12S_all_50	0	0	4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
forward_fishcard_12S_all_51	0	0	4	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_fishcard_12S_all_52	0	0	4	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
forward_fishcard_12S_all_53	3	0	0	
forward_fishcard_12S_all_54	3	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_55	2	0	1	
forward_fishcard_12S_all_56	2	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_57	2	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_58	1	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_59	1	0	2	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_60	1	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_61	1	0	2	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_fishcard_12S_all_62	1	0	2	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_63	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_64	0	3	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_65	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_66	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_67	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_68	0	0	3	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_69	0	0	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_70	2	0	0	
forward_fishcard_12S_all_71	2	0	0	
forward_fishcard_12S_all_72	2	0	0	
forward_fishcard_12S_all_73	2	0	0	
forward_fishcard_12S_all_74	2	0	0	
forward_fishcard_12S_all_75	2	0	0	
forward_fishcard_12S_all_76	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
forward_fishcard_12S_all_77	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_78	2	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_79	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_80	2	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_81	2	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_fishcard_12S_all_82	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_83	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_84	2	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_85	2	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_86	2	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_fishcard_12S_all_87	1	0	1	
forward_fishcard_12S_all_88	1	1	0	
forward_fishcard_12S_all_89	1	1	0	
forward_fishcard_12S_all_90	1	1	0	
forward_fishcard_12S_all_91	1	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_92	1	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_93	1	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_94	1	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_95	1	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_96	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_97	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_98	1	0	1	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_99	0	2	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_100	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_101	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_102	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_103	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_104	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_105	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_106	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_107	0	2	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_fishcard_12S_all_108	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_109	0	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_110	0	2	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus
forward_fishcard_12S_all_111	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_112	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_113	0	1	1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis
forward_fishcard_12S_all_114	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_115	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_116	0	0	2	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_117	0	0	2	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
forward_fishcard_12S_all_118	0	0	2	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
forward_fishcard_12S_all_119	0	0	2	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis
forward_fishcard_12S_all_120	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_121	0	0	2	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
forward_fishcard_12S_all_122	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_123	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_124	1	0	0	
forward_fishcard_12S_all_125	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_126	1	0	0	
forward_fishcard_12S_all_127	1	0	0	
forward_fishcard_12S_all_128	1	0	0	
forward_fishcard_12S_all_129	1	0	0	
forward_fishcard_12S_all_130	1	0	0	
forward_fishcard_12S_all_131	1	0	0	
forward_fishcard_12S_all_132	1	0	0	
forward_fishcard_12S_all_133	1	0	0	
forward_fishcard_12S_all_134	1	0	0	
forward_fishcard_12S_all_135	1	0	0	
forward_fishcard_12S_all_136	1	0	0	
forward_fishcard_12S_all_137	1	0	0	
forward_fishcard_12S_all_138	1	0	0	
forward_fishcard_12S_all_139	1	0	0	
forward_fishcard_12S_all_140	1	0	0	
forward_fishcard_12S_all_141	1	0	0	
forward_fishcard_12S_all_142	1	0	0	
forward_fishcard_12S_all_143	1	0	0	
forward_fishcard_12S_all_144	1	0	0	
forward_fishcard_12S_all_145	1	0	0	
forward_fishcard_12S_all_146	1	0	0	
forward_fishcard_12S_all_147	1	0	0	
forward_fishcard_12S_all_148	1	0	0	
forward_fishcard_12S_all_149	1	0	0	
forward_fishcard_12S_all_150	1	0	0	
forward_fishcard_12S_all_151	1	0	0	
forward_fishcard_12S_all_152	1	0	0	
forward_fishcard_12S_all_153	1	0	0	
forward_fishcard_12S_all_154	1	0	0	
forward_fishcard_12S_all_155	1	0	0	
forward_fishcard_12S_all_156	1	0	0	
forward_fishcard_12S_all_157	1	0	0	
forward_fishcard_12S_all_158	1	0	0	
forward_fishcard_12S_all_159	1	0	0	
forward_fishcard_12S_all_160	1	0	0	
forward_fishcard_12S_all_161	1	0	0	
forward_fishcard_12S_all_162	1	0	0	
forward_fishcard_12S_all_163	1	0	0	
forward_fishcard_12S_all_164	1	0	0	
forward_fishcard_12S_all_165	1	0	0	
forward_fishcard_12S_all_166	1	0	0	
forward_fishcard_12S_all_167	1	0	0	
forward_fishcard_12S_all_168	1	0	0	
forward_fishcard_12S_all_169	1	0	0	
forward_fishcard_12S_all_170	1	0	0	
forward_fishcard_12S_all_171	1	0	0	
forward_fishcard_12S_all_172	1	0	0	
forward_fishcard_12S_all_173	1	0	0	
forward_fishcard_12S_all_174	1	0	0	
forward_fishcard_12S_all_175	1	0	0	
forward_fishcard_12S_all_176	1	0	0	
forward_fishcard_12S_all_177	1	0	0	
forward_fishcard_12S_all_178	1	0	0	
forward_fishcard_12S_all_179	1	0	0	
forward_fishcard_12S_all_180	1	0	0	
forward_fishcard_12S_all_181	1	0	0	
forward_fishcard_12S_all_182	1	0	0	
forward_fishcard_12S_all_183	1	0	0	
forward_fishcard_12S_all_184	1	0	0	
forward_fishcard_12S_all_185	1	0	0	
forward_fishcard_12S_all_186	1	0	0	
forward_fishcard_12S_all_187	1	0	0	
forward_fishcard_12S_all_188	1	0	0	
forward_fishcard_12S_all_189	1	0	0	
forward_fishcard_12S_all_190	1	0	0	
forward_fishcard_12S_all_191	1	0	0	
forward_fishcard_12S_all_192	1	0	0	
forward_fishcard_12S_all_193	1	0	0	
forward_fishcard_12S_all_194	1	0	0	
forward_fishcard_12S_all_195	1	0	0	
forward_fishcard_12S_all_196	1	0	0	
forward_fishcard_12S_all_197	1	0	0	
forward_fishcard_12S_all_198	1	0	0	
forward_fishcard_12S_all_199	1	0	0	
forward_fishcard_12S_all_200	1	0	0	
forward_fishcard_12S_all_201	1	0	0	
forward_fishcard_12S_all_202	1	0	0	
forward_fishcard_12S_all_203	1	0	0	
forward_fishcard_12S_all_204	1	0	0	
forward_fishcard_12S_all_205	1	0	0	
forward_fishcard_12S_all_206	1	0	0	
forward_fishcard_12S_all_207	1	0	0	
forward_fishcard_12S_all_208	1	0	0	
forward_fishcard_12S_all_209	1	0	0	
forward_fishcard_12S_all_210	1	0	0	
forward_fishcard_12S_all_211	1	0	0	
forward_fishcard_12S_all_212	1	0	0	
forward_fishcard_12S_all_213	1	0	0	
forward_fishcard_12S_all_214	1	0	0	
forward_fishcard_12S_all_215	1	0	0	
forward_fishcard_12S_all_216	1	0	0	
forward_fishcard_12S_all_217	1	0	0	
forward_fishcard_12S_all_218	1	0	0	
forward_fishcard_12S_all_219	1	0	0	
forward_fishcard_12S_all_220	1	0	0	
forward_fishcard_12S_all_221	1	0	0	
forward_fishcard_12S_all_222	1	0	0	
forward_fishcard_12S_all_223	1	0	0	
forward_fishcard_12S_all_224	1	0	0	
forward_fishcard_12S_all_225	1	0	0	
forward_fishcard_12S_all_226	1	0	0	
forward_fishcard_12S_all_227	1	0	0	
forward_fishcard_12S_all_228	1	0	0	
forward_fishcard_12S_all_229	1	0	0	
forward_fishcard_12S_all_230	1	0	0	
forward_fishcard_12S_all_231	1	0	0	
forward_fishcard_12S_all_232	1	0	0	
forward_fishcard_12S_all_233	1	0	0	
forward_fishcard_12S_all_234	1	0	0	
forward_fishcard_12S_all_235	1	0	0	
forward_fishcard_12S_all_236	1	0	0	
forward_fishcard_12S_all_237	1	0	0	
forward_fishcard_12S_all_238	1	0	0	
forward_fishcard_12S_all_239	1	0	0	
forward_fishcard_12S_all_240	1	0	0	
forward_fishcard_12S_all_241	1	0	0	
forward_fishcard_12S_all_242	1	0	0	
forward_fishcard_12S_all_243	1	0	0	
forward_fishcard_12S_all_244	1	0	0	
forward_fishcard_12S_all_245	1	0	0	
forward_fishcard_12S_all_246	1	0	0	
forward_fishcard_12S_all_247	1	0	0	
forward_fishcard_12S_all_248	1	0	0	
forward_fishcard_12S_all_249	1	0	0	
forward_fishcard_12S_all_250	1	0	0	
forward_fishcard_12S_all_251	1	0	0	
forward_fishcard_12S_all_252	1	0	0	
forward_fishcard_12S_all_253	1	0	0	
forward_fishcard_12S_all_254	1	0	0	
forward_fishcard_12S_all_255	1	0	0	
forward_fishcard_12S_all_256	1	0	0	
forward_fishcard_12S_all_257	1	0	0	
forward_fishcard_12S_all_258	1	0	0	
forward_fishcard_12S_all_259	1	0	0	
forward_fishcard_12S_all_260	1	0	0	
forward_fishcard_12S_all_261	1	0	0	
forward_fishcard_12S_all_262	1	0	0	
forward_fishcard_12S_all_263	1	0	0	
forward_fishcard_12S_all_264	1	0	0	
forward_fishcard_12S_all_265	1	0	0	
forward_fishcard_12S_all_266	1	0	0	
forward_fishcard_12S_all_267	1	0	0	
forward_fishcard_12S_all_268	1	0	0	
forward_fishcard_12S_all_269	1	0	0	
forward_fishcard_12S_all_270	1	0	0	
forward_fishcard_12S_all_271	1	0	0	
forward_fishcard_12S_all_272	1	0	0	
forward_fishcard_12S_all_273	1	0	0	
forward_fishcard_12S_all_274	1	0	0	
forward_fishcard_12S_all_275	1	0	0	
forward_fishcard_12S_all_276	1	0	0	
forward_fishcard_12S_all_277	1	0	0	
forward_fishcard_12S_all_278	1	0	0	
forward_fishcard_12S_all_279	1	0	0	
forward_fishcard_12S_all_280	1	0	0	
forward_fishcard_12S_all_281	1	0	0	
forward_fishcard_12S_all_282	1	0	0	
forward_fishcard_12S_all_283	1	0	0	
forward_fishcard_12S_all_284	1	0	0	
forward_fishcard_12S_all_285	1	0	0	
forward_fishcard_12S_all_286	1	0	0	
forward_fishcard_12S_all_287	1	0	0	
forward_fishcard_12S_all_288	1	0	0	
