all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_1	14	73	53	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.1;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_2	43	18	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_291.1;KC136408.1;KC136573.1;KC136362.1;KC136456.1;LC037025.1;KC136474.1;KC136531.1;KC136375.1;KC136505.1;KC136570.1;KC136377.1;KC136402.1;KC136451.1;KC136428.1;KC136398.1;KC136519.1;KC136516.1;KC136404.1;KC136543.1;KC136540.1;AB972189.1;DQ872160.1;KC136529.1;AP006010.1;FISHCARD_miu_167.1;KC136578.1;KC136558.1;KC136574.1;AY279561.1;KC136409.1;EF616895.1;KC136423.1;KC136384.1;KC136521.1
forward_fishcard_12S_all_3	38	15	18	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:53.8333333333;species:53.8333333333;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1
forward_fishcard_12S_all_4	31	4	19	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_5	0	38	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_289.1;KC136546.1
forward_fishcard_12S_all_6	0	0	37	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pleuronectiformes;family:Paralichthyidae;genus:Citharichthys;species:Citharichthys sordidus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.1666666667;	FISHCARD_miu_328.1;LC145943.1;FISHCARD_miu_330.1;AF488499.1;FISHCARD_miu_329.1;LC049675.1;LC092080.1
forward_fishcard_12S_all_7	12	12	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:55.0;species:55.0;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1
forward_fishcard_12S_all_8	14	0	11	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_343.1;DQ336169.1;AP014536.1;FISHCARD_miu_333.1
forward_fishcard_12S_all_9	17	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Chromis;species:Chromis punctipinnis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_347.1;FJ616322.1;FISHCARD_miu_346.1;JQ707030.1;FJ616311.1;AY098623.1;FISHCARD_miu_345.1
forward_fishcard_12S_all_10	10	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091962.1;FISHCARD_miu_036.1;LC091961.1;FISHCARD_miu_577.1;AB969927.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;KT819204.1;FISHCARD_miu_549.1;AB969955.1;KM978993.1;MH248172.1;FISHCARD_miu_139.1;FISHCARD_miu_153.1;AB969990.1;FISHCARD_miu_551.1;FISHCARD_miu_238.1
