fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_c19_fishcard_1	14	73	53	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:93.7;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;KC136482.1
forward_c19_fishcard_2	43	18	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.5;species:99.5;	FISHCARD_miu_291.1;KC136408.1;AP011062.1;LC037028.1;KC136413.1;LC037026.1;KC136365.1;KC136545.1;KC136380.1;KC136386.1;KC136368.1;LC037027.1;KC136488.1;KC136493.1;KC136406.1;KC136378.1;KC136427.1;KC136444.1;KC136441.1;KC136394.1;KC136500.1;KC136496.1;KC136407.1;KC136512.1;LC458161.1;KC136527.1;KC136470.1;KC136503.1;KC136539.1;KC136456.1;KC136452.1;KC136404.1;LC037025.1;KC136519.1;KC136362.1;KC136428.1;KC136375.1;KC136550.1;KC136451.1;KC136531.1;KC136382.1;KC136573.1;KC136568.1;KC136516.1;KC136543.1;KC136529.1;KC136391.1;KC136436.1;KC136578.1;KC136426.1;KC136487.1;KC136549.1;KC136363.1;KC136569.1;KC136511.1;KC136502.1;KC136433.1;KC136535.1;KC136447.1;AB972197.1;KC136381.1;KC136509.1;KC136560.1;KC136565.1;KC136405.1;KC136538.1;KC136400.1;KC136537.1;KC136442.1;AP011061.1;KC136372.1;KC136468.1;KC136387.1;KC136453.1;KC136557.1;KC136376.1;KC136421.1;KC136437.1;FISHCARD_miu_167.1;KC136454.1;KC136564.1;KC136479.1;KC136438.1;KC136448.1;KC136369.1;KC136481.1;KC136506.1;KC136461.1;KC136554.1;KC136556.1;KC136522.1;KC136521.1;AY279561.1;KC136439.1;KC136490.1;KC136409.1;KC136484.1;KC136403.1;KC136460.1;KC136532.1
forward_c19_fishcard_3	38	15	18	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:56.8333333333;species:56.8333333333;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1;LC104651.1;LC146271.1;AY279611.1;AJ810137.1;KY421797.1;AJ810136.1;KY815304.1;LC499368.1;AB974580.1;AY279589.1;AY279628.1;AB972165.1;KY815292.1;AY279635.1;AY279590.1;LC021281.1;LC037152.1
forward_c19_fishcard_4	31	4	19	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1;LC037056.1
forward_c19_fishcard_5	0	38	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:85.0;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;AB236128.1;AB236130.1;AB214535.1;LC021271.1;AB236129.1;KC136370.1;LC278022.1;LC037030.1;AB233478.1;AB233477.1;LC492400.1;AB208649.1;LC385204.1;LC037029.1;AB233475.1;LC278154.1;AB233476.1;KC136555.1;LC278153.1;AB233483.1;KC136477.1;AB233482.1;LC492401.1;LC421696.1;AB233488.1;AB233489.1;AB233485.1;AB233479.1;AP011060.1;AB233491.1;AB233487.1;AB233481.1;LC458160.1;AB233484.1;AB972232.1;AB208648.1;AB233486.1;AB233480.1;AB233490.1
forward_c19_fishcard_6	0	0	37	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pleuronectiformes;family:Paralichthyidae;genus:Citharichthys;species:Citharichthys sordidus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:93.5;	FISHCARD_miu_328.1;LC145943.1;FISHCARD_miu_330.1;AF488499.1;FISHCARD_miu_329.1;LC049675.1;LC092080.1;AF488502.1
forward_c19_fishcard_7	12	12	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:55.3333333333;species:55.3333333333;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1;LC104651.1;LC146271.1;AY279611.1;KY421797.1;AJ810137.1;AJ810136.1;KY815304.1;AY279589.1;AB974580.1;LC499368.1;AY279628.1;AB972165.1;KY815292.1;AY279590.1;AY279635.1;LC021281.1;LC037152.1
forward_c19_fishcard_8	14	0	11	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_343.1;DQ336169.1;AB974539.1;KT373795.1;LC049667.1;MF966982.1;KT345965.1;MF966980.1;MF966978.1;AB974541.1;MF966985.1;MF966979.1;MF966984.1;MF966981.1;KR075132.1;MF966983.1;KC136466.1;LC500739.1;EF616891.1;LC036779.1;LC208773.1;KC136476.1;LC006297.3;LC036780.1;AP014538.1;AP014536.1;LC021164.1;AB974645.1;KJ907732.1;KF815977.1;LC146227.1;AB128866.1;AB739063.1;AB128868.1;AB741956.1;AB974643.1;FISHCARD_miu_333.1;AB128869.1;AB128867.1;KM370980.1;KY660677.1;KJ644781.1;KF746198.1;LC021266.1;KY815235.1;KJ960194.1;JF972568.1;JN378751.1;LC055190.1;KC567664.1;AB734122.1;AB974575.1;LC458155.1;AB128871.1;AB128870.1;LC458154.1;AB969963.1
forward_c19_fishcard_9	17	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Pomacentridae;genus:Chromis;species:Chromis punctipinnis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:99.3333333333;	FISHCARD_miu_347.1;FJ616322.1;FJ616317.1;JQ707030.1;FISHCARD_miu_346.1;FJ616328.1;LC474195.1;LC474196.1;FJ616320.1;AB969956.1;LC104634.1;JQ707036.1;FJ616326.1;LC499559.1;FJ616313.1;LC104618.1;LC340187.1;AB974585.1;AP006016.1;AF285921.1;FJ616290.1;KF374999.1;AB969957.1;LC069650.1;LC069664.1;LC500710.1;FJ616295.1;LC499560.1;JN935809.1;FJ616327.1;LC104613.1;LC069660.1;LC069665.1;AF285920.1;AB969974.1;AY279570.1;LC421703.1;FJ616293.1;JQ707032.1;LC499303.1;LC104616.1;JQ707034.1;NC_041192.1;LC104614.1;JQ707028.1;LC458258.1;FJ616296.1;MK100717.1;LC021279.1;AF285926.1;FJ616314.1;FJ616321.1;LC499305.1;LC091980.1;LC069651.1;FJ616289.1;FJ616298.1;FJ616315.1;FJ616316.1;JN935818.1;FJ616294.1;LC146253.1;MH248164.1;FJ616318.1;FJ616292.1;LC146252.1;LC104619.1;JQ707035.1;FISHCARD_miu_345.1;AY098623.1;FJ616311.1;LC104637.1;LC069656.1;JQ707031.1;FJ616319.1;FJ616297.1;JQ707033.1;AF285925.1;FJ616340.1;FJ616323.1
forward_c19_fishcard_10	10	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.6666666667;species:78.4386363636;	LC091962.1;LC091961.1;FISHCARD_miu_036.1;AB972182.1;AP003091.1;LC277958.1;LC499276.1;LC385180.1;AP003092.1;AB096005.1;AB108498.1;MH377811.1;KF841444.1;FISHCARD_miu_577.1;LC277951.1;LC036993.1;AB969924.1;LC037001.1;LC036995.1;KM986880.1;AF271658.1;AB969992.1;AB938141.1;MH248170.1;KJ174514.1;LC277950.1;LC277964.1;AB938140.1;MH377814.1;MH248171.1;AB969927.1;AB969995.1;MH377815.1;LC036996.1;FISHCARD_miu_549.1;AB969955.1;LC277956.1;KJ004518.1;LC500720.1;LC277961.1;KT819204.1;LC036987.1;MN102718.1;LC037009.1;LC277967.1;LC277962.1;FISHCARD_miu_239.1;FISHCARD_miu_578.1;LC458354.1;AB969925.1;AB974543.1;LC458355.1;NC_044650.1;LC492375.1;LC277960.1;LC458246.1;KJ192332.1;LC492388.1;LC492385.1;KM978993.1;LC492387.1;LC277954.1;LC492382.1;LC492380.1;LC036988.1;LC492381.1;KF649843.1;AB969991.1;LC492377.1;LC492379.1;LC277944.1;AB969997.1;LC492378.1;LC492374.1;LC492384.1;LC277953.1;AP004445.1;LC277963.1;FISHCARD_miu_139.1;AB974544.1;KT805946.1;AB969990.1;FISHCARD_miu_153.1;LC277966.1;MH248247.1;MG729394.1;MH248223.1;LC036994.1;LC277970.1;FISHCARD_miu_238.1;LC037005.1;MH248242.1;KM522838.1;FJ792629.1;AP004444.1;MH248181.1;LC277968.1;LC037003.1;LC036992.1;KM522839.1
forward_c19_fishcard_11	11	5	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:90.6;family:90.6;genus:90.4;species:90.4;	FISHCARD_miu_020.1;LC091575.1;LC091576.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;LC468860.1;LC385201.1;AF417342.1;AP017957.1;KF765500.2;AB040676.1;LC468861.1;LC020920.1;LC499587.1;FISHCARD_miu_268.1;LC340033.1;AP009137.1;AP011557.1
forward_c19_fishcard_12	1	6	8	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.7;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;KC136482.1
