Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_12S_Oct2019_1	14	73	53	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_2	43	18	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.6666666667;species:98.6666666667;	KC136408.1;LC037028.1;AP011062.1;KC136525.1;KC136504.1;KC136450.1;KC136493.1;KC136441.1;KC136496.1;KC136545.1;KC136470.1;KC136500.1;KC136386.1;KC136406.1;KC136503.1;KC136380.1;KC136368.1;KC136508.1;KC136570.1;KC136550.1;KC136474.1;KC136382.1;KC136404.1;KC136573.1;KC136452.1;KC136362.1;KC136544.1;KC136499.1;KC136377.1;KC136375.1;KC136568.1;KC136428.1;KC136456.1;KC136422.1;KC136529.1;KC136473.1;KC136383.1;KC136548.1;KC136433.1;KC136416.1;KC136426.1;KC136387.1;LC037024.1;KC136554.1;AB972197.1;KC136565.1;KC136373.1;KC136479.1;KC136549.1;KC136448.1;KC136492.1;KC136455.1;KC136578.1;KC136560.1;KC136507.1;KC136417.1;KC136497.1;KC136514.1;KC136524.1;KC136445.1;KC136393.1;KC136405.1;KC136421.1;KC136535.1;KC136453.1;KC136569.1;KC136411.1;KC136491.1;KC136564.1;KC136442.1;KC136533.1;KC136481.1;KC136572.1;KC136438.1;KC136446.1;KC136399.1;KC136487.1;KC136361.1;KC136541.1;KC136376.1;KC136454.1;KC136436.1;AP011061.1;KC136461.1;KC136559.1;KC136374.1;AY279561.1;KC136460.1;KC136384.1;KC136484.1;KC136403.1;KC136532.1;KC136490.1;KC136574.1;EF616895.1;KC136379.1;KC136409.1;KC136412.1;KC136556.1;KC136558.1
forward_12S_Oct2019_3	38	15	18	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.0;species:98.0;	AY279632.1;KY815300.1;LC104651.1;LC146271.1;AY279611.1;KY421797.1;AJ810137.1;AJ810136.1;KY815304.1;AB974580.1;LC499368.1;AY279589.1;AY279628.1;AB972165.1;KY815292.1;AY279590.1;AY279635.1;LC021281.1;LC037152.1
forward_12S_Oct2019_4	31	4	19	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_5	0	38	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:74.1421568627;	KC136553.1;KC136546.1;KC136577.1;KC136536.1;KC136395.1;LC021271.1;AB236129.1;AB236130.1;KC136370.1;AB236128.1;AB214535.1;LC278022.1;LC037030.1;AB233476.1;AB233478.1;AB233475.1;AB208649.1;KC136555.1;LC037029.1;AB233477.1;LC278153.1;LC278154.1;LC385204.1;LC492400.1;AB972232.1;AB233482.1;AB233483.1;LC421696.1;LC458160.1;AB233491.1;AB208648.1;AB233489.1;AB233487.1;AB233485.1;KC136477.1;AB233481.1;AP011060.1;AB233484.1;AB233488.1;AB233479.1;LC492401.1;AB233486.1;AB233480.1;AB233490.1
forward_12S_Oct2019_6	0	0	37	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pleuronectiformes;family:Paralichthyidae;genus:Citharichthys;species:Citharichthys sordidus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:93.0;	LC145943.1;AF488499.1;LC092080.1;LC049675.1;AF488502.1
forward_12S_Oct2019_7	12	12	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:96.5;species:96.5;	AY279632.1;KY815300.1;LC104651.1;AY279611.1;AJ810137.1;LC146271.1;KY421797.1;AJ810136.1;KY815304.1;AY279589.1;AB974580.1;LC499368.1;AY279628.1;AB972165.1;KY815292.1;LC021281.1;AY279635.1;AY279590.1;LC037152.1
forward_12S_Oct2019_8	14	0	11	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Pempheriformes;family:Polyprionidae;genus:Stereolepis;species:Stereolepis gigas;	superkingdom:100.0;phylum:100.0;class:100.0;order:99.5;family:99.5;genus:99.5;species:99.0;	DQ336169.1;KT373795.1;AB974539.1;LC049667.1;MF966982.1;MF966978.1;MF966980.1;KT345965.1;AB974541.1;MF966984.1;MF966979.1;MF966985.1;MF966981.1;MF966983.1;KR075132.1;EF616891.1;LC036780.1;LC006297.3;LC500739.1;LC036779.1;KC136466.1;KC136476.1;LC208773.1;AP017435.1;AP014536.1;AP014538.1;LC021164.1;KJ907732.1;LC146227.1;AB974645.1;KF815977.1;AB974643.1;AB741956.1;AB739063.1;AB128868.1;AB128869.1;AB128867.1;AB128866.1;KM370980.1;JF972568.1;KC567664.1;KJ644781.1;KY660677.1;LC055190.1;LC021266.1;KY815235.1;KJ960194.1;KF746198.1;JN378751.1;LC458154.1;LC458155.1;AB974575.1;AB734122.1;AB128871.1;AB128870.1;AB969963.1
forward_12S_Oct2019_9	17	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Pomacentridae;genus:Chromis;species:Chromis punctipinnis;	superkingdom:100.0;phylum:100.0;class:100.0;order:99.5;family:100.0;genus:100.0;species:99.5;	FJ616322.1;FJ616317.1;JQ707030.1;AB969956.1;LC474195.1;FJ616320.1;JQ707036.1;LC474196.1;FJ616328.1;LC104634.1;LC104618.1;FJ616326.1;FJ616313.1;LC499559.1;LC340187.1;LC499560.1;FJ616295.1;LC069650.1;KF374999.1;FJ616290.1;AB969957.1;LC500710.1;JN935809.1;AB974585.1;AP006016.1;AF285921.1;LC069664.1;FJ616327.1;LC104613.1;FJ616293.1;LC421703.1;AF285920.1;AB969974.1;AY279570.1;LC069665.1;LC069660.1;JQ707032.1;LC104616.1;LC499303.1;JQ707034.1;LC104614.1;NC_041192.1;JQ707028.1;MK100717.1;LC021279.1;LC458258.1;FJ616296.1;AF285926.1;LC069651.1;FJ616314.1;FJ616321.1;LC091980.1;LC499305.1;FJ616315.1;FJ616289.1;FJ616298.1;FJ616316.1;JN935818.1;MH248164.1;FJ616294.1;LC146253.1;FJ616318.1;LC104619.1;FJ616292.1;LC146252.1;JQ707035.1;AY098623.1;FJ616311.1;JQ707031.1;LC104637.1;LC069656.1;FJ616297.1;FJ616319.1;JQ707033.1;AF285925.1;FJ616323.1;FJ616340.1
forward_12S_Oct2019_10	10	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Trachurus;species:Trachurus symmetricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:75.0841269841;	LC091962.1;LC091961.1;LC499276.1;LC277958.1;AB972182.1;LC385180.1;AP003091.1;AB108498.1;AP003092.1;AB096005.1;MH377811.1;LC036993.1;LC277951.1;KF841444.1;KM986880.1;LC036995.1;AB969924.1;LC037001.1;AF271658.1;MH248170.1;AB969992.1;AB938141.1;LC277964.1;AB969995.1;LC277950.1;MH248171.1;AB938140.1;MH377814.1;KJ174514.1;MH377815.1;AB969927.1;LC036996.1;LC036987.1;LC458354.1;AB969925.1;NC_044650.1;LC500720.1;LC277962.1;LC037009.1;LC492375.1;LC277961.1;KJ004518.1;LC277967.1;LC458355.1;AB969926.1;MN102718.1;LC458246.1;AB969955.1;KT819204.1;LC277960.1;AB974543.1;LC277956.1;KJ192332.1;LC492386.1;AB969997.1;LC492387.1;LC492380.1;LC492376.1;LC277954.1;LC492385.1;LC492382.1;AB972223.1;LC492374.1;LC492384.1;LC492383.1;LC036988.1;KF649843.1;MH248172.1;LC492381.1;AB969991.1;LC492377.1;KM978993.1;LC492379.1;KM522836.1;LC277953.1;LC492378.1;LC492388.1;LC277944.1;AB969990.1;MH248247.1;AB974544.1;AP004445.1;KM201334.1;LC277966.1;MH248165.1;KT805946.1;AB938139.1;MG729394.1;AF055590.1;MH248223.1;LC036994.1;KM522838.1;LC036991.1;LC277968.1;AP004444.1;LC037003.1;MH248181.1;FJ792629.1;KM522839.1;LC036992.1
